,id,contains index,contains annotations,volume count,volumes,unenumed volumes
0,P000003,No,Yes,109.0,"OrderedDict([('v063', []), ('v103', []), ('v068', []), ('v059', []), ('v102', []), ('v106', []), ('v025', []), ('v093', []), ('v084', []), ('v031', []), ('v087', []), ('v094', []), ('v048', []), ('v007', []), ('v034', []), ('v040', []), ('v041', []), ('v044', []), ('v100', []), ('v002', []), ('v027', []), ('v108', []), ('v095', []), ('v060', []), ('v089', []), ('v004', []), ('v079', []), ('v005', []), ('v050', []), ('v039', []), ('v038', []), ('v028', []), ('v045', []), ('v032', []), ('v091', []), ('v006', []), ('v013', []), ('v001', []), ('v036', []), ('v033', []), ('v015', []), ('v076', []), ('v104', []), ('v083', []), ('v026', []), ('v073', []), ('v051', []), ('v098', []), ('v080', []), ('v043', []), ('v018', []), ('v097', []), ('v105', []), ('v047', []), ('v066', []), ('v107', []), ('v011', []), ('v071', []), ('v012', []), ('v021', []), ('v054', []), ('v090', []), ('v008', []), ('v037', []), ('v070', []), ('v010', []), ('v085', []), ('v030', []), ('v055', []), ('v058', []), ('v082', []), ('v065', []), ('v077', []), ('v064', []), ('v109', []), ('v052', []), ('v035', []), ('v074', []), ('v072', []), ('v096', []), ('v092', []), ('v046', []), ('v022', []), ('v016', []), ('v020', []), ('v042', []), ('v101', []), ('v023', []), ('v019', []), ('v086', []), ('v088', []), ('v049', []), ('v069', []), ('v099', []), ('v003', []), ('v056', []), ('v024', []), ('v081', []), ('v014', []), ('v009', []), ('v062', []), ('v067', []), ('v017', []), ('v029', []), ('v061', []), ('v078', []), ('v075', []), ('v053', []), ('v057', [])])","OrderedDict([('v063', ['pagination']), ('v103', ['pagination']), ('v068', ['pagination']), ('v059', ['pagination']), ('v102', ['pagination']), ('v106', ['pagination']), ('v025', ['pagination']), ('v093', ['pagination']), ('v084', ['pagination']), ('v031', ['pagination']), ('v087', ['pagination']), ('v094', ['pagination']), ('v048', ['pagination']), ('v007', ['pagination']), ('v034', ['pagination']), ('v040', ['pagination']), ('v041', ['pagination']), ('v044', ['pagination']), ('v100', ['pagination']), ('v002', ['pagination']), ('v027', ['pagination']), ('v108', ['pagination']), ('v095', ['pagination']), ('v060', ['pagination']), ('v089', ['pagination']), ('v004', ['pagination']), ('v079', ['pagination']), ('v005', ['pagination']), ('v050', ['pagination']), ('v039', ['pagination']), ('v038', ['pagination']), ('v028', ['pagination']), ('v045', ['pagination']), ('v032', ['pagination']), ('v091', ['pagination']), ('v006', ['pagination']), ('v013', ['pagination']), ('v001', ['pagination']), ('v036', ['pagination']), ('v033', ['pagination']), ('v015', ['pagination']), ('v076', ['pagination']), ('v104', ['pagination']), ('v083', ['pagination']), ('v026', ['pagination']), ('v073', ['pagination']), ('v051', ['pagination']), ('v098', ['pagination']), ('v080', ['pagination']), ('v043', ['pagination']), ('v018', ['pagination']), ('v097', ['pagination']), ('v105', ['pagination']), ('v047', ['pagination']), ('v066', ['pagination']), ('v107', ['pagination']), ('v011', ['pagination']), ('v071', ['pagination']), ('v012', ['pagination']), ('v021', ['pagination']), ('v054', ['pagination']), ('v090', ['pagination']), ('v008', ['pagination']), ('v037', ['pagination']), ('v070', ['pagination']), ('v010', ['pagination']), ('v085', ['pagination']), ('v030', ['pagination']), ('v055', ['pagination']), ('v058', ['pagination']), ('v082', ['pagination']), ('v065', ['pagination']), ('v077', ['pagination']), ('v064', ['pagination']), ('v109', ['pagination']), ('v052', ['pagination']), ('v035', ['pagination']), ('v074', ['pagination']), ('v072', ['pagination']), ('v096', ['pagination']), ('v092', ['pagination']), ('v046', ['pagination']), ('v022', ['pagination']), ('v016', ['pagination']), ('v020', ['pagination']), ('v042', ['pagination']), ('v101', ['pagination']), ('v023', ['pagination']), ('v019', ['pagination']), ('v086', ['pagination']), ('v088', ['pagination']), ('v049', ['pagination']), ('v069', ['pagination']), ('v099', ['pagination']), ('v003', ['pagination']), ('v056', ['pagination']), ('v024', ['pagination']), ('v081', ['pagination']), ('v014', ['pagination']), ('v009', ['pagination']), ('v062', ['pagination']), ('v067', ['pagination']), ('v017', ['pagination']), ('v029', ['pagination']), ('v061', ['pagination']), ('v078', ['pagination']), ('v075', ['pagination']), ('v053', ['pagination']), ('v057', ['pagination'])])"
1,P000001,Yes,Yes,103.0,"OrderedDict([('v063', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v103', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v068', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v059', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v102', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v025', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v093', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v084', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v031', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v087', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v094', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v048', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v007', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v034', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v040', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v041', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v044', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v100', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v002', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v027', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v095', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v060', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v089', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v004', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v079', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v005', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v050', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v039', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v038', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v028', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v045', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v032', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v091', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v006', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v013', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v001', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v036', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v033', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v015', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v076', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v083', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v026', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v073', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v051', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v098', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v080', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v043', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v018', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v097', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v047', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v066', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v011', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v071', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v012', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v021', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v054', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v090', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v008', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v037', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v070', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v010', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v085', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v030', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v055', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v058', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v082', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v065', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v077', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v064', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v052', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v035', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v074', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v072', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v096', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v092', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v046', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v022', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v016', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v020', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v042', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v101', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v023', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v019', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v086', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v088', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v049', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v069', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v099', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v003', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v056', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v024', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v081', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v014', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v009', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v062', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v067', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v017', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v029', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v061', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v078', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v075', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v053', ['peydurma', 'correction', 'pagination', 'error_candidate']), ('v057', ['peydurma', 'correction', 'pagination', 'error_candidate'])])","OrderedDict([('v063', []), ('v103', []), ('v068', []), ('v059', []), ('v102', []), ('v025', []), ('v093', []), ('v084', []), ('v031', []), ('v087', []), ('v094', []), ('v048', []), ('v007', []), ('v034', []), ('v040', []), ('v041', []), ('v044', []), ('v100', []), ('v002', []), ('v027', []), ('v095', []), ('v060', []), ('v089', []), ('v004', []), ('v079', []), ('v005', []), ('v050', []), ('v039', []), ('v038', []), ('v028', []), ('v045', []), ('v032', []), ('v091', []), ('v006', []), ('v013', []), ('v001', []), ('v036', []), ('v033', []), ('v015', []), ('v076', []), ('v083', []), ('v026', []), ('v073', []), ('v051', []), ('v098', []), ('v080', []), ('v043', []), ('v018', []), ('v097', []), ('v047', []), ('v066', []), ('v011', []), ('v071', []), ('v012', []), ('v021', []), ('v054', []), ('v090', []), ('v008', []), ('v037', []), ('v070', []), ('v010', []), ('v085', []), ('v030', []), ('v055', []), ('v058', []), ('v082', []), ('v065', []), ('v077', []), ('v064', []), ('v052', []), ('v035', []), ('v074', []), ('v072', []), ('v096', []), ('v092', []), ('v046', []), ('v022', []), ('v016', []), ('v020', []), ('v042', []), ('v101', []), ('v023', []), ('v019', []), ('v086', []), ('v088', []), ('v049', []), ('v069', []), ('v099', []), ('v003', []), ('v056', []), ('v024', []), ('v081', []), ('v014', []), ('v009', []), ('v062', []), ('v067', []), ('v017', []), ('v029', []), ('v061', []), ('v078', []), ('v075', []), ('v053', []), ('v057', [])])"
2,P000002,Yes,Yes,213.0,"OrderedDict([('v196', ['archaic', 'correction', 'pagination']), ('v188', ['archaic', 'correction', 'pagination']), ('v063', ['archaic', 'correction', 'pagination']), ('v112', ['peydurma', 'archaic', 'correction', 'pagination']), ('v103', ['peydurma', 'archaic', 'correction', 'pagination']), ('v138', ['peydurma', 'archaic', 'correction', 'pagination']), ('v068', ['peydurma', 'archaic', 'correction', 'pagination']), ('v059', ['archaic', 'correction', 'pagination']), ('v190', ['archaic', 'correction', 'pagination']), ('v102', ['peydurma', 'archaic', 'correction', 'pagination']), ('v106', ['archaic', 'correction', 'pagination']), ('v168', ['archaic', 'correction', 'pagination']), ('v205', ['peydurma', 'archaic', 'correction', 'pagination']), ('v025', ['archaic', 'correction', 'pagination']), ('v093', ['peydurma', 'archaic', 'correction', 'pagination']), ('v164', ['peydurma', 'archaic', 'correction', 'pagination']), ('v137', ['peydurma', 'archaic', 'correction', 'pagination']), ('v209', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v084', ['peydurma', 'archaic', 'correction', 'pagination']), ('v202', ['archaic', 'correction', 'pagination']), ('v031', ['peydurma', 'archaic', 'correction', 'pagination']), ('v087', ['peydurma', 'archaic', 'correction', 'pagination']), ('v094', ['archaic', 'correction', 'pagination']), ('v171', ['archaic', 'correction', 'pagination']), ('v048', ['archaic', 'correction', 'pagination']), ('v195', ['archaic', 'correction', 'pagination']), ('v163', ['archaic', 'correction', 'pagination']), ('v007', ['archaic', 'correction', 'pagination']), ('v201', ['archaic', 'correction', 'pagination']), ('v034', ['archaic', 'correction', 'pagination']), ('v186', ['archaic', 'correction', 'pagination']), ('v183', ['archaic', 'correction', 'pagination']), ('v040', ['archaic', 'correction', 'pagination']), ('v041', ['archaic', 'correction', 'pagination']), ('v044', ['peydurma', 'archaic', 'correction', 'pagination']), ('v100', ['archaic', 'correction', 'pagination']), ('v172', ['peydurma', 'archaic', 'correction', 'pagination']), ('v002', ['archaic', 'correction', 'pagination']), ('v027', ['archaic', 'correction', 'pagination']), ('v108', ['archaic', 'correction', 'pagination']), ('v143', ['archaic', 'correction', 'pagination']), ('v185', ['archaic', 'correction', 'pagination']), ('v156', ['archaic', 'correction', 'pagination']), ('v095', ['peydurma', 'archaic', 'correction', 'pagination']), ('v060', ['archaic', 'correction', 'pagination']), ('v089', ['peydurma', 'archaic', 'correction', 'pagination']), ('v167', ['peydurma', 'archaic', 'correction', 'pagination']), ('v154', ['archaic', 'correction', 'pagination']), ('v004', ['archaic', 'correction', 'pagination']), ('v079', ['peydurma', 'archaic', 'correction', 'pagination']), ('v115', ['peydurma', 'archaic', 'correction', 'pagination']), ('v123', ['peydurma', 'archaic', 'correction', 'pagination']), ('v122', ['archaic', 'correction', 'pagination']), ('v005', ['archaic', 'correction', 'pagination']), ('v050', ['peydurma', 'archaic', 'correction', 'pagination']), ('v146', ['archaic', 'correction', 'pagination']), ('v039', ['archaic', 'correction', 'pagination']), ('v147', ['archaic', 'correction', 'pagination']), ('v038', ['archaic', 'correction', 'pagination']), ('v174', ['peydurma', 'archaic', 'correction', 'pagination']), ('v028', ['peydurma', 'archaic', 'correction', 'pagination']), ('v157', ['archaic', 'correction', 'pagination']), ('v045', ['archaic', 'correction', 'pagination']), ('v032', ['peydurma', 'archaic', 'correction', 'pagination']), ('v175', ['peydurma', 'archaic', 'correction', 'pagination']), ('v169', ['archaic', 'correction', 'pagination']), ('v091', ['archaic', 'correction', 'pagination']), ('v006', ['archaic', 'correction', 'pagination']), ('v013', ['archaic', 'correction', 'pagination']), ('v199', ['archaic', 'correction', 'pagination']), ('v166', ['peydurma', 'archaic', 'correction', 'pagination']), ('v001', ['peydurma', 'archaic', 'correction', 'pagination']), ('v036', ['archaic', 'correction', 'pagination']), ('v125', ['archaic', 'correction', 'pagination']), ('v155', ['archaic', 'correction', 'pagination']), ('v173', ['peydurma', 'archaic', 'correction', 'pagination']), ('v181', ['archaic', 'correction', 'pagination']), ('v128', ['peydurma', 'archaic', 'correction', 'pagination']), ('v033', ['peydurma', 'archaic', 'correction', 'pagination']), ('v015', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v119', ['peydurma', 'archaic', 'correction', 'pagination']), ('v076', ['archaic', 'correction', 'pagination']), ('v104', ['archaic', 'correction', 'pagination']), ('v178', ['archaic', 'correction', 'pagination']), ('v151', ['archaic', 'correction', 'pagination']), ('v180', ['archaic', 'correction', 'pagination']), ('v083', ['peydurma', 'archaic', 'correction', 'pagination']), ('v026', ['archaic', 'correction', 'pagination']), ('v140', ['peydurma', 'archaic', 'correction', 'pagination']), ('v073', ['peydurma', 'archaic', 'correction', 'pagination']), ('v051', ['peydurma', 'archaic', 'correction', 'pagination']), ('v200', ['archaic', 'correction', 'pagination']), ('v130', ['peydurma', 'archaic', 'correction', 'pagination']), ('v144', ['archaic', 'correction', 'pagination']), ('v098', ['peydurma', 'archaic', 'correction', 'pagination']), ('v080', ['peydurma', 'archaic', 'correction', 'pagination']), ('v189', ['archaic', 'correction', 'pagination']), ('v198', ['peydurma', 'archaic', 'correction', 'pagination']), ('v150', ['archaic', 'correction', 'pagination']), ('v043', ['archaic', 'correction', 'pagination']), ('v135', ['archaic', 'correction', 'pagination']), ('v132', ['peydurma', 'archaic', 'correction', 'pagination']), ('v018', ['archaic', 'correction', 'pagination']), ('v191', ['peydurma', 'archaic', 'correction', 'pagination']), ('v097', ['peydurma', 'archaic', 'correction', 'pagination']), ('v105', ['peydurma', 'archaic', 'correction', 'pagination']), ('v165', ['peydurma', 'archaic', 'correction', 'pagination']), ('v047', ['peydurma', 'archaic', 'correction', 'pagination']), ('v066', ['archaic', 'correction', 'pagination']), ('v207', ['peydurma', 'archaic', 'correction', 'pagination']), ('v107', ['peydurma', 'archaic', 'correction', 'pagination']), ('v011', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v176', ['archaic', 'correction', 'pagination']), ('v071', ['peydurma', 'archaic', 'correction', 'pagination']), ('v012', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v021', ['peydurma', 'archaic', 'correction', 'pagination', 'error_candidate']), ('v111', ['peydurma', 'archaic', 'correction', 'pagination']), ('v204', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v116', ['peydurma', 'archaic', 'correction', 'pagination']), ('v054', ['archaic', 'correction', 'pagination']), ('v118', ['peydurma', 'archaic', 'correction', 'pagination']), ('v114', ['peydurma', 'archaic', 'correction', 'pagination']), ('v197', ['archaic', 'correction', 'pagination']), ('v142', ['archaic', 'correction', 'pagination']), ('v090', ['archaic', 'correction', 'pagination']), ('v008', ['peydurma', 'archaic', 'correction', 'pagination', 'error_candidate']), ('v037', ['peydurma', 'archaic', 'correction', 'pagination']), ('v134', ['peydurma', 'archaic', 'correction', 'pagination']), ('v153', ['archaic', 'correction', 'pagination']), ('v149', ['peydurma', 'archaic', 'correction', 'pagination']), ('v070', ['archaic', 'correction', 'pagination']), ('v010', ['peydurma', 'archaic', 'correction', 'pagination']), ('v210', ['archaic', 'correction', 'pagination']), ('v085', ['peydurma', 'archaic', 'correction', 'pagination']), ('v030', ['peydurma', 'archaic', 'correction', 'pagination']), ('v124', ['peydurma', 'archaic', 'correction', 'pagination']), ('v055', ['archaic', 'correction', 'pagination']), ('v133', ['archaic', 'correction', 'pagination']), ('v212', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v126', ['archaic', 'correction', 'pagination']), ('v058', ['archaic', 'correction', 'pagination']), ('v141', ['peydurma', 'archaic', 'correction', 'pagination']), ('v082', ['peydurma', 'archaic', 'correction', 'pagination']), ('v065', ['archaic', 'correction', 'pagination']), ('v145', ['archaic', 'correction', 'pagination']), ('v077', ['peydurma', 'archaic', 'correction', 'pagination']), ('v064', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v109', ['peydurma', 'archaic', 'correction', 'pagination']), ('v052', ['peydurma', 'archaic', 'correction', 'pagination']), ('v152', ['archaic', 'correction', 'pagination']), ('v035', ['peydurma', 'archaic', 'correction', 'pagination']), ('v074', ['peydurma', 'archaic', 'correction', 'pagination']), ('v072', ['archaic', 'correction', 'pagination']), ('v096', ['peydurma', 'archaic', 'correction', 'pagination']), ('v092', ['archaic', 'correction', 'pagination']), ('v046', ['archaic', 'correction', 'pagination']), ('v148', ['archaic', 'correction', 'pagination']), ('v022', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v161', ['peydurma', 'archaic', 'correction', 'pagination']), ('v016', ['archaic', 'correction', 'pagination']), ('v158', ['archaic', 'correction', 'pagination']), ('v127', ['peydurma', 'archaic', 'correction', 'pagination']), ('v182', ['archaic', 'correction', 'pagination']), ('v177', ['archaic', 'correction', 'pagination']), ('v192', ['peydurma', 'archaic', 'correction', 'pagination']), ('v136', ['peydurma', 'archaic', 'correction', 'pagination']), ('v020', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v211', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v042', ['peydurma', 'archaic', 'correction', 'pagination']), ('v131', ['peydurma', 'archaic', 'correction', 'pagination']), ('v110', ['peydurma', 'archaic', 'correction', 'pagination']), ('v101', ['archaic', 'correction', 'pagination']), ('v117', ['peydurma', 'archaic', 'correction', 'pagination']), ('v170', ['archaic', 'correction', 'pagination']), ('v203', ['archaic', 'correction', 'pagination']), ('v160', ['peydurma', 'archaic', 'correction', 'pagination']), ('v023', ['archaic', 'correction', 'pagination']), ('v121', ['archaic', 'correction', 'pagination']), ('v019', ['archaic', 'correction', 'pagination']), ('v086', ['peydurma', 'archaic', 'correction', 'pagination']), ('v179', ['archaic', 'correction', 'pagination']), ('v162', ['archaic', 'correction', 'pagination']), ('v194', ['archaic', 'correction', 'pagination']), ('v213', ['archaic', 'pagination']), ('v139', ['archaic', 'correction', 'pagination']), ('v208', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v088', ['archaic', 'correction', 'pagination']), ('v049', ['archaic', 'correction', 'pagination']), ('v193', ['archaic', 'correction', 'pagination']), ('v129', ['peydurma', 'archaic', 'correction', 'pagination']), ('v069', ['archaic', 'correction', 'pagination']), ('v099', ['archaic', 'correction', 'pagination']), ('v003', ['archaic', 'correction', 'pagination']), ('v120', ['peydurma', 'archaic', 'correction', 'pagination']), ('v056', ['archaic', 'correction', 'pagination']), ('v024', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v081', ['peydurma', 'archaic', 'correction', 'pagination']), ('v014', ['archaic', 'correction', 'pagination', 'error_candidate']), ('v009', ['archaic', 'correction', 'pagination']), ('v187', ['archaic', 'correction', 'pagination']), ('v062', ['archaic', 'correction', 'pagination']), ('v067', ['archaic', 'correction', 'pagination']), ('v184', ['archaic', 'correction', 'pagination']), ('v017', ['archaic', 'correction', 'pagination']), ('v029', ['peydurma', 'archaic', 'correction', 'pagination']), ('v113', ['peydurma', 'archaic', 'correction', 'pagination']), ('v206', ['peydurma', 'archaic', 'correction', 'pagination']), ('v061', ['archaic', 'correction', 'pagination']), ('v078', ['archaic', 'correction', 'pagination']), ('v159', ['peydurma', 'archaic', 'correction', 'pagination']), ('v075', ['archaic', 'correction', 'pagination']), ('v053', ['peydurma', 'archaic', 'correction', 'pagination']), ('v057', ['archaic', 'correction', 'pagination'])])","OrderedDict([('v196', []), ('v188', []), ('v063', []), ('v112', []), ('v103', []), ('v138', []), ('v068', []), ('v059', []), ('v190', []), ('v102', []), ('v106', []), ('v168', []), ('v205', []), ('v025', []), ('v093', []), ('v164', []), ('v137', []), ('v209', []), ('v084', []), ('v202', []), ('v031', []), ('v087', []), ('v094', []), ('v171', []), ('v048', []), ('v195', []), ('v163', []), ('v007', []), ('v201', []), ('v034', []), ('v186', []), ('v183', []), ('v040', []), ('v041', []), ('v044', []), ('v100', []), ('v172', []), ('v002', []), ('v027', []), ('v108', []), ('v143', []), ('v185', []), ('v156', []), ('v095', []), ('v060', []), ('v089', []), ('v167', []), ('v154', []), ('v004', []), ('v079', []), ('v115', []), ('v123', []), ('v122', []), ('v005', []), ('v050', []), ('v146', []), ('v039', []), ('v147', []), ('v038', []), ('v174', []), ('v028', []), ('v157', []), ('v045', []), ('v032', []), ('v175', []), ('v169', []), ('v091', []), ('v006', []), ('v013', []), ('v199', []), ('v166', []), ('v001', []), ('v036', []), ('v125', []), ('v155', []), ('v173', []), ('v181', []), ('v128', []), ('v033', []), ('v015', []), ('v119', []), ('v076', []), ('v104', []), ('v178', []), ('v151', []), ('v180', []), ('v083', []), ('v026', []), ('v140', []), ('v073', []), ('v051', []), ('v200', []), ('v130', []), ('v144', []), ('v098', []), ('v080', []), ('v189', []), ('v198', []), ('v150', []), ('v043', []), ('v135', []), ('v132', []), ('v018', []), ('v191', []), ('v097', []), ('v105', []), ('v165', []), ('v047', []), ('v066', []), ('v207', []), ('v107', []), ('v011', []), ('v176', []), ('v071', []), ('v012', []), ('v021', []), ('v111', []), ('v204', []), ('v116', []), ('v054', []), ('v118', []), ('v114', []), ('v197', []), ('v142', []), ('v090', []), ('v008', []), ('v037', []), ('v134', []), ('v153', []), ('v149', []), ('v070', []), ('v010', []), ('v210', []), ('v085', []), ('v030', []), ('v124', []), ('v055', []), ('v133', []), ('v212', []), ('v126', []), ('v058', []), ('v141', []), ('v082', []), ('v065', []), ('v145', []), ('v077', []), ('v064', []), ('v109', []), ('v052', []), ('v152', []), ('v035', []), ('v074', []), ('v072', []), ('v096', []), ('v092', []), ('v046', []), ('v148', []), ('v022', []), ('v161', []), ('v016', []), ('v158', []), ('v127', []), ('v182', []), ('v177', []), ('v192', []), ('v136', []), ('v020', []), ('v211', []), ('v042', []), ('v131', []), ('v110', []), ('v101', []), ('v117', []), ('v170', []), ('v203', []), ('v160', []), ('v023', []), ('v121', []), ('v019', []), ('v086', []), ('v179', []), ('v162', []), ('v194', []), ('v213', []), ('v139', []), ('v208', []), ('v088', []), ('v049', []), ('v193', []), ('v129', []), ('v069', []), ('v099', []), ('v003', []), ('v120', []), ('v056', []), ('v024', []), ('v081', []), ('v014', []), ('v009', []), ('v187', []), ('v062', []), ('v067', []), ('v184', []), ('v017', []), ('v029', []), ('v113', []), ('v206', []), ('v061', []), ('v078', []), ('v159', []), ('v075', []), ('v053', []), ('v057', [])])"
3,P000270,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_title', 'chapter'])])","OrderedDict([('v001', [])])"
4,P000080,No,Yes,1.0,"OrderedDict([('v001', ['author', 'book_title', 'chapter', 'sabche'])])","OrderedDict([('v001', ['Quotation'])])"
5,P000073,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_title', 'tsawa', 'sabche'])])","OrderedDict([('v001', ['Quotation'])])"
6,P000262,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_title'])])","OrderedDict([('v001', [])])"
7,P000193,No,Yes,1.0,"OrderedDict([('v001', ['author', 'book_title', 'tsawa', 'sabche'])])","OrderedDict([('v001', ['Quotation'])])"
8,P000255,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_title', 'chapter'])])","OrderedDict([('v001', ['Quotation'])])"
9,P000040,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_title', 'chapter'])])","OrderedDict([('v001', [])])"
